dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,outcome,source_group,targets_elapsed_seconds,targets_return_code,targets_status,unit_name,unsafe_target_count,workspace_dir,workunit_key,compile_failed_crates,compile_failed_target_kinds,compile_failure_kind,compile_ok_count,compile_status,coverage_rate,fix_status,fix_success_count,found_bugs,needs_review,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,top_api_status,top_target_api_id,top_target_path,top_target_score,error_message,error_stage
algorithmica-0.1.8,51.4,,0.58,0,ok,0.27,0,ok,50.3,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/algorithmica-0.1.8/Cargo.toml,erasan_crates/algorithmica-0.1.8/Cargo.toml,no_targets,ERASAN,0.25,0,ok,algorithmica-0.1.8,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/algorithmica-0.1.8,erasan_crates/algorithmica-0.1.8/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
toodee-0.2.4,175.17,,0.62,0,ok,0.31,0,ok,83.5,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/toodee-0.2.4/Cargo.toml,erasan_crates/toodee-0.2.4/Cargo.toml,validated,ERASAN,0.25,0,ok,toodee-0.2.4,9,/tmp/seraph-deepsurf-round1-fullrerun-20260429/toodee-0.2.4,erasan_crates/toodee-0.2.4/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],90.49,0,ok,0.045454545454545456,0,0,1,0,ok,validated,api::toodee::ops::TooDeeOps::get_unchecked,toodee::ops::TooDeeOps::get_unchecked,4.95,,
http-0.1.19,399.19,,1.69,0,ok,0.39,0,ok,158.58,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/http-0.1.19/Cargo.toml,erasan_crates/http-0.1.19/Cargo.toml,crate_build_failed,ERASAN,0.24,0,ok,http-0.1.19,6,/tmp/seraph-deepsurf-round1-fullrerun-20260429/http-0.1.19,erasan_crates/http-0.1.19/Cargo.toml,"[""http""]","[""lib""]",crate_build_failed,0,failed,0.0,failed,0,[],[],238.29,0,ok,0.0,0,0,0,0,skipped,attempted,api::http::header::name::HeaderName::from_bytes,http::header::name::HeaderName::from_bytes,2.5,,
through-0.1.0,24.01,,0.45,0,ok,0.24,0,ok,23.08,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/through-0.1.0/Cargo.toml,erasan_crates/through-0.1.0/Cargo.toml,no_targets,ERASAN,0.24,0,ok,through-0.1.0,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/through-0.1.0,erasan_crates/through-0.1.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
string-interner-0.7.0,40.43,,0.54,0,ok,0.29,0,ok,39.36,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/string-interner-0.7.0/Cargo.toml,erasan_crates/string-interner-0.7.0/Cargo.toml,no_targets,ERASAN,0.24,0,ok,string-interner-0.7.0,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/string-interner-0.7.0,erasan_crates/string-interner-0.7.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
slice-deque-0.3.0,205.12,,0.88,0,ok,0.4,0,ok,113.47,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/slice-deque-0.3.0/Cargo.toml,erasan_crates/slice-deque-0.3.0/Cargo.toml,crate_build_failed,ERASAN,0.24,0,ok,slice-deque-0.3.0,30,/tmp/seraph-deepsurf-round1-fullrerun-20260429/slice-deque-0.3.0,erasan_crates/slice-deque-0.3.0/Cargo.toml,"[""slice-deque""]","[""lib""]",crate_build_failed,0,failed,0.0,failed,0,[],[],90.13,0,ok,0.0,0,0,0,0,skipped,attempted,api::slice_deque::SliceDeque::move_head_unchecked,slice_deque::SliceDeque::move_head_unchecked,3.7,,
simple-slab-0.3.2,53.92,,0.49,0,ok,0.24,0,ok,28.28,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/simple-slab-0.3.2/Cargo.toml,erasan_crates/simple-slab-0.3.2/Cargo.toml,validated,ERASAN,0.24,0,ok,simple-slab-0.3.2,2,/tmp/seraph-deepsurf-round1-fullrerun-20260429/simple-slab-0.3.2,erasan_crates/simple-slab-0.3.2/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],24.66,0,ok,0.5,0,0,1,0,ok,validated,api::simple_slab::Slab::with_capacity,simple_slab::Slab::with_capacity,2.3,,
rdiff-0.1.2,26.3,,0.57,0,ok,0.24,0,ok,25.25,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/rdiff-0.1.2/Cargo.toml,erasan_crates/rdiff-0.1.2/Cargo.toml,no_targets,ERASAN,0.24,0,ok,rdiff-0.1.2,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/rdiff-0.1.2,erasan_crates/rdiff-0.1.2/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
qwutils-0.3.0,92.26,,0.75,0,ok,0.27,0,ok,90.99,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/qwutils-0.3.0/Cargo.toml,erasan_crates/qwutils-0.3.0/Cargo.toml,no_targets,ERASAN,0.25,0,ok,qwutils-0.3.0,0,/tmp/seraph-deepsurf-round1-fullrerun-20260429/qwutils-0.3.0,erasan_crates/qwutils-0.3.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,,,,
ordnung-0.0.1,94.26,,0.52,0,ok,0.25,0,ok,33.27,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/ordnung-0.0.1/Cargo.toml,erasan_crates/ordnung-0.0.1/Cargo.toml,validated,ERASAN,0.24,0,ok,ordnung-0.0.1,3,/tmp/seraph-deepsurf-round1-fullrerun-20260429/ordnung-0.0.1,erasan_crates/ordnung-0.0.1/Cargo.toml,[],[],,1,ok,1.0,ok,0,[],[],59.98,0,ok,0.26666666666666666,0,0,1,0,ok,validated,api::ordnung::Map::get,ordnung::Map::get,2.2,,
