compile_failed_crates,compile_failed_target_kinds,compile_failure_kind,compile_ok_count,compile_status,coverage_rate,dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,fix_status,fix_success_count,found_bugs,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,needs_review,outcome,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,source_group,targets_elapsed_seconds,targets_return_code,targets_status,top_api_status,top_target_api_id,top_target_path,top_target_score,unit_name,unsafe_target_count,workspace_dir,workunit_key,error_message,error_stage,rerun_date,rerun_kind,supersedes_workspace_dir
[],[],,1,ok,1.0,fixedbitset-0.4.1,202.12,,0.55,0,ok,ok,0,[],0.26,0,ok,118.99,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/fixedbitset-0.4.1/Cargo.toml,crabtree_crates/fixedbitset-0.4.1/Cargo.toml,[],validated,82.08,0,ok,0.038461538461538464,0,0,1,0,ok,CRABTREE,0.24,0,ok,validated,api::fixedbitset::FixedBitSet::with_capacity_and_blocks,fixedbitset::FixedBitSet::with_capacity_and_blocks,2.3,fixedbitset-0.4.1,9,/tmp/seraph-deepsurf-round1-latest-20260429/fixedbitset-0.4.1,crabtree_crates/fixedbitset-0.4.1/Cargo.toml,,,,,
[],[],,1,ok,1.0,integer-encoding-3.0.4,117.02,,0.52,0,ok,ok,0,[],0.24,0,ok,34.65,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/integer-encoding-3.0.4/Cargo.toml,crabtree_crates/integer-encoding-3.0.4/Cargo.toml,[],validated,81.37,0,ok,0.0,0,0,1,0,ok,CRABTREE,0.24,0,ok,validated,api::integer_encoding::fixed::FixedInt::switch_endianness,integer_encoding::fixed::FixedInt::switch_endianness,2.1,integer-encoding-3.0.4,1,/tmp/seraph-deepsurf-round1-latest-20260429/integer-encoding-3.0.4,crabtree_crates/integer-encoding-3.0.4/Cargo.toml,,,,,
"[""leapfrog""]","[""lib""]",crate_build_failed,0,failed,0.0,leapfrog-0.2.1,328.95,,1.02,0,ok,failed,0,[],0.25,0,ok,153.9,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/leapfrog-0.2.1/Cargo.toml,crabtree_crates/leapfrog-0.2.1/Cargo.toml,[],crate_build_failed,173.54,0,ok,0.0,0,0,0,0,skipped,CRABTREE,0.23,0,ok,attempted,api::leapfrog::util::load_u64_le,leapfrog::util::load_u64_le,2.1,leapfrog-0.2.1,1,/tmp/seraph-deepsurf-round1-latest-20260429/leapfrog-0.2.1,crabtree_crates/leapfrog-0.2.1/Cargo.toml,,,,,
[],[],,1,ok,1.0,oxidebpf-0.2.3,182.95,,1.07,0,ok,ok,0,[],0.26,0,ok,92.12,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/oxidebpf-0.2.3/Cargo.toml,crabtree_crates/oxidebpf-0.2.3/Cargo.toml,[],validated,89.26,0,ok,0.0,0,0,1,0,ok,CRABTREE,0.24,0,ok,validated,api::oxidebpf::maps::ArrayMap::new,oxidebpf::maps::ArrayMap::new,3.65,oxidebpf-0.2.3,5,/tmp/seraph-deepsurf-round1-latest-20260429/oxidebpf-0.2.3,crabtree_crates/oxidebpf-0.2.3/Cargo.toml,,,,,
[],[],,1,ok,1.0,roaring-0.10.1,720.66,,0.73,0,ok,ok,0,[],0.27,0,ok,139.36,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/roaring-0.10.1/Cargo.toml,crabtree_crates/roaring-0.10.1/Cargo.toml,[],validated,580.06,0,ok,0.06896551724137931,0,0,1,0,ok,CRABTREE,0.24,0,ok,validated,api::roaring::bitmap::RoaringBitmap::rank,roaring::bitmap::RoaringBitmap::rank,2.2,roaring-0.10.1,1,/tmp/seraph-deepsurf-round1-latest-20260429/roaring-0.10.1,crabtree_crates/roaring-0.10.1/Cargo.toml,,,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,sharded-slab-0.1.4,159.8,,0.77,0,ok,ok,1,[],0.26,0,ok,68.93,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/sharded-slab-0.1.4/Cargo.toml,crabtree_crates/sharded-slab-0.1.4/Cargo.toml,[],validated,89.6,0,ok,0.3076923076923077,0,0,1,0,ok,CRABTREE,0.24,0,ok,validated,api::sharded_slab::pool::OwnedRefMut::downgrade,sharded_slab::pool::OwnedRefMut::downgrade,2.3,sharded-slab-0.1.4,2,/tmp/seraph-deepsurf-round1-latest-20260429/sharded-slab-0.1.4,crabtree_crates/sharded-slab-0.1.4/Cargo.toml,,,,,
,,,,,,sparsey-0.7.0,0.91,,0.91,1,failed,,,,,,,,,,/tmp/deepSURF-main/dataset/crabtree_crates/sparsey-0.7.0/Cargo.toml,crabtree_crates/sparsey-0.7.0/Cargo.toml,,extract_failed,,,,,,,,,,CRABTREE,,,,,,,,sparsey-0.7.0,,/tmp/seraph-deepsurf-round1-latest-20260429/sparsey-0.7.0,crabtree_crates/sparsey-0.7.0/Cargo.toml,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 673",extract,,,
[],[],,1,ok,1.0,triomphe-0.1.6,568.03,,0.65,0,ok,ok,0,[],0.39,0,ok,432.11,0,ok,/tmp/deepSURF-main/dataset/crabtree_crates/triomphe-0.1.6/Cargo.toml,crabtree_crates/triomphe-0.1.6/Cargo.toml,[],validated,134.63,0,ok,0.08333333333333333,0,0,1,0,ok,CRABTREE,0.24,0,ok,validated,api::triomphe::thin_arc::ThinArc::from_raw,triomphe::thin_arc::ThinArc::from_raw,4.55,triomphe-0.1.6,21,/tmp/seraph-deepsurf-round1-latest-20260429/triomphe-0.1.6,crabtree_crates/triomphe-0.1.6/Cargo.toml,,,,,
,,,,,,algorithmica-0.1.8,111.24,,0.55,0,ok,,,,0.25,0,ok,110.19,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/algorithmica-0.1.8/Cargo.toml,erasan_crates/algorithmica-0.1.8/Cargo.toml,,no_targets,,,,,,,,,,ERASAN,0.24,0,ok,,,,,algorithmica-0.1.8,0,/tmp/seraph-deepsurf-round1-latest-20260429/algorithmica-0.1.8,erasan_crates/algorithmica-0.1.8/Cargo.toml,,,,,
"[""harness_001_01""]","[""bin \""harness_001_01\""""]",harness_compile_failed,0,failed,1.0,arc-swap-1.0.0,144.61,,0.65,0,ok,ok,1,[],0.26,0,ok,53.0,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/arc-swap-1.0.0/Cargo.toml,erasan_crates/arc-swap-1.0.0/Cargo.toml,[],validated,90.46,0,ok,0.15,0,0,1,0,ok,ERASAN,0.24,0,ok,validated,api::arc_swap::ArcSwapAny::load,arc_swap::ArcSwapAny::load,2.3,arc-swap-1.0.0,2,/tmp/seraph-deepsurf-round1-latest-20260429/arc-swap-1.0.0,erasan_crates/arc-swap-1.0.0/Cargo.toml,,,,,
