dataset_entry,elapsed_seconds,expanded_from,extract_elapsed_seconds,extract_return_code,extract_status,graph_elapsed_seconds,graph_return_code,graph_status,index_elapsed_seconds,index_return_code,index_status,manifest_path,manifest_rel_path,outcome,source_group,targets_elapsed_seconds,targets_return_code,targets_status,unit_name,unsafe_target_count,workspace_dir,workunit_key,compile_ok_count,compile_status,coverage_rate,fix_status,fix_success_count,found_bugs,needs_review,phase3_run_elapsed_seconds,phase3_run_return_code,phase3_run_status,related_coverage_rate,runtime_issue_count,smoke_bug_count,smoke_ok_count,smoke_review_count,smoke_status,top_api_status,top_target_api_id,top_target_path,top_target_score,error_message,error_stage
algorithmica-0.1.8,41.2,,0.47,0,ok,0.27,0,ok,40.21,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/algorithmica-0.1.8/Cargo.toml,erasan_crates/algorithmica-0.1.8/Cargo.toml,no_targets,ERASAN,0.24,0,ok,algorithmica-0.1.8,0,/tmp/seraph-deepsurf-round1-20260428-2045/algorithmica-0.1.8,erasan_crates/algorithmica-0.1.8/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,
toodee-0.2.4,174.97,,4.15,0,ok,0.3,0,ok,67.96,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/toodee-0.2.4/Cargo.toml,erasan_crates/toodee-0.2.4/Cargo.toml,validated,ERASAN,0.25,0,ok,toodee-0.2.4,9,/tmp/seraph-deepsurf-round1-20260428-2045/toodee-0.2.4,erasan_crates/toodee-0.2.4/Cargo.toml,0,failed,1.0,ok,1,[],[],102.31,0,ok,0.058823529411764705,0,0,1,0,ok,validated,api::toodee::ops::TooDeeOps::get_unchecked,toodee::ops::TooDeeOps::get_unchecked,4.95,,
http-0.1.19,495.22,,5.73,0,ok,0.39,0,ok,224.81,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/http-0.1.19/Cargo.toml,erasan_crates/http-0.1.19/Cargo.toml,attempted,ERASAN,0.24,0,ok,http-0.1.19,6,/tmp/seraph-deepsurf-round1-20260428-2045/http-0.1.19,erasan_crates/http-0.1.19/Cargo.toml,0,failed,0.0,failed,0,[],[],264.05,0,ok,0.0,0,0,0,0,skipped,attempted,api::http::header::name::HeaderName::from_bytes,http::header::name::HeaderName::from_bytes,2.5,,
through-0.1.0,12.03,,0.49,0,ok,0.24,0,ok,11.06,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/through-0.1.0/Cargo.toml,erasan_crates/through-0.1.0/Cargo.toml,no_targets,ERASAN,0.24,0,ok,through-0.1.0,0,/tmp/seraph-deepsurf-round1-20260428-2045/through-0.1.0,erasan_crates/through-0.1.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,
string-interner-0.7.0,37.25,,5.62,0,ok,0.29,0,ok,31.09,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/string-interner-0.7.0/Cargo.toml,erasan_crates/string-interner-0.7.0/Cargo.toml,no_targets,ERASAN,0.24,0,ok,string-interner-0.7.0,0,/tmp/seraph-deepsurf-round1-20260428-2045/string-interner-0.7.0,erasan_crates/string-interner-0.7.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,
slice-deque-0.3.0,217.59,,0.95,0,ok,0.4,0,ok,83.81,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/slice-deque-0.3.0/Cargo.toml,erasan_crates/slice-deque-0.3.0/Cargo.toml,attempted,ERASAN,0.25,0,ok,slice-deque-0.3.0,30,/tmp/seraph-deepsurf-rerun-slice-deque-0.3.0-20260428/slice-deque-0.3.0,erasan_crates/slice-deque-0.3.0/Cargo.toml,0,failed,0.0,failed,0,[],[],132.18,0,ok,0.0,0,0,0,0,skipped,attempted,api::slice_deque::SliceDeque::move_head_unchecked,slice_deque::SliceDeque::move_head_unchecked,3.7,,
simple-slab-0.3.2,67.63,,3.09,0,ok,0.24,0,ok,15.89,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/simple-slab-0.3.2/Cargo.toml,erasan_crates/simple-slab-0.3.2/Cargo.toml,validated,ERASAN,0.24,0,ok,simple-slab-0.3.2,2,/tmp/seraph-deepsurf-round1-20260428-2045/simple-slab-0.3.2,erasan_crates/simple-slab-0.3.2/Cargo.toml,0,failed,1.0,ok,1,[],[],48.16,0,ok,0.16666666666666666,0,0,1,0,ok,validated,api::simple_slab::Slab::with_capacity,simple_slab::Slab::with_capacity,2.3,,
rdiff-0.1.2,100.42,,21.45,0,ok,0.23,0,ok,78.5,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/rdiff-0.1.2/Cargo.toml,erasan_crates/rdiff-0.1.2/Cargo.toml,no_targets,ERASAN,0.24,0,ok,rdiff-0.1.2,0,/tmp/seraph-deepsurf-round1-20260428-2045/rdiff-0.1.2,erasan_crates/rdiff-0.1.2/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,
qwutils-0.3.0,333.3,,2.37,0,ok,0.3,0,ok,330.4,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/qwutils-0.3.0/Cargo.toml,erasan_crates/qwutils-0.3.0/Cargo.toml,no_targets,ERASAN,0.23,0,ok,qwutils-0.3.0,0,/tmp/seraph-deepsurf-round1-20260428-2045/qwutils-0.3.0,erasan_crates/qwutils-0.3.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,
ordnung-0.0.1,180.89,,5.45,0,ok,0.24,0,ok,48.19,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/ordnung-0.0.1/Cargo.toml,erasan_crates/ordnung-0.0.1/Cargo.toml,validated,ERASAN,0.24,0,ok,ordnung-0.0.1,3,/tmp/seraph-deepsurf-round1-20260428-2045/ordnung-0.0.1,erasan_crates/ordnung-0.0.1/Cargo.toml,0,failed,1.0,ok,1,[],[],126.78,0,ok,0.2,0,0,1,0,ok,validated,api::ordnung::Map::get,ordnung::Map::get,2.2,,
insert_many-0.1.1,29.76,,2.88,0,ok,0.24,0,ok,26.39,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/insert_many-0.1.1/Cargo.toml,erasan_crates/insert_many-0.1.1/Cargo.toml,no_targets,ERASAN,0.24,0,ok,insert_many-0.1.1,0,/tmp/seraph-deepsurf-round1-20260428-2045/insert_many-0.1.1,erasan_crates/insert_many-0.1.1/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,
futures-0.3.5,320.78,futures-task workspace member,47.39,0,ok,0.28,0,ok,219.03,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/futures-0.3.5/futures-task/Cargo.toml,erasan_crates/futures-0.3.5/futures-task/Cargo.toml,attempted,ERASAN,0.24,0,ok,futures-0.3.5-futures-task,1,/tmp/seraph-deepsurf-round1-20260428-2045/futures-0.3.5-futures-task,erasan_crates/futures-0.3.5/futures-task/Cargo.toml,0,failed,0.0,failed,0,[],[],53.85,0,ok,0.0,0,0,0,0,skipped,attempted,api::futures_task::future_obj::LocalFutureObj::into_future_obj,futures_task::future_obj::LocalFutureObj::into_future_obj,3.55,,
futures-0.3.3,74.24,futures-task workspace member,2.31,0,ok,0.24,0,ok,25.56,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/futures-0.3.3/futures-task/Cargo.toml,erasan_crates/futures-0.3.3/futures-task/Cargo.toml,validated,ERASAN,0.24,0,ok,futures-0.3.3-futures-task,1,/tmp/seraph-deepsurf-round1-20260428-2045/futures-0.3.3-futures-task,erasan_crates/futures-0.3.3/futures-task/Cargo.toml,0,failed,1.0,ok,1,[],[],45.89,0,ok,0.1111111111111111,0,0,1,0,ok,validated,api::futures_task::future_obj::LocalFutureObj::into_future_obj,futures_task::future_obj::LocalFutureObj::into_future_obj,3.55,,
endian_trait-0.6.0,16.11,,6.45,0,ok,0.24,0,ok,9.18,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/endian_trait-0.6.0/Cargo.toml,erasan_crates/endian_trait-0.6.0/Cargo.toml,no_targets,ERASAN,0.24,0,ok,endian_trait-0.6.0,0,/tmp/seraph-deepsurf-round1-20260428-2045/endian_trait-0.6.0,erasan_crates/endian_trait-0.6.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,,
cbox-0.3.0,75.99,,2.1,0,ok,0.25,0,ok,31.66,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/cbox-0.3.0/Cargo.toml,erasan_crates/cbox-0.3.0/Cargo.toml,attempted,ERASAN,0.24,0,ok,cbox-0.3.0,6,/tmp/seraph-deepsurf-round1-20260428-2045/cbox-0.3.0,erasan_crates/cbox-0.3.0/Cargo.toml,0,failed,0.0,failed,0,[],[],41.74,0,ok,0.0,0,0,0,0,skipped,attempted,api::cbox::CBox::as_semi,cbox::CBox::as_semi,2.3,,
bumpalo-3.11.0,196.25,,4.51,0,ok,0.26,0,ok,66.62,0,ok,/tmp/deepSURF-main/dataset/erasan_crates/bumpalo-3.11.0/Cargo.toml,erasan_crates/bumpalo-3.11.0/Cargo.toml,validated,ERASAN,0.23,0,ok,bumpalo-3.11.0,14,/tmp/seraph-deepsurf-round1-20260428-2045/bumpalo-3.11.0,erasan_crates/bumpalo-3.11.0/Cargo.toml,0,failed,1.0,ok,1,[],[],124.62,0,ok,0.3076923076923077,0,0,1,0,ok,validated,api::bumpalo::Bump::iter_allocated_chunks,bumpalo::Bump::iter_allocated_chunks,3.55,,
secp256k1-0.22.0,13.99,,13.99,1,failed,,,,,,,/tmp/deepSURF-main/dataset/erasan_crates/secp256k1-0.22.0/Cargo.toml,erasan_crates/secp256k1-0.22.0/Cargo.toml,extract_failed,ERASAN,,,,secp256k1-0.22.0,,/tmp/seraph-deepsurf-round1-20260428-2045/secp256k1-0.22.0,erasan_crates/secp256k1-0.22.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,"failed to extract knowledge from manifest: failed to parse rustdoc JSON: invalid type: map, expected a string at line 1 column 640256",extract
pnet_packet-0.26.0,12.78,,12.78,1,failed,,,,,,,/tmp/deepSURF-main/dataset/erasan_crates/pnet_packet-0.26.0/Cargo.toml,erasan_crates/pnet_packet-0.26.0/Cargo.toml,extract_failed,ERASAN,,,,pnet_packet-0.26.0,,/tmp/seraph-deepsurf-round1-20260428-2045/pnet_packet-0.26.0,erasan_crates/pnet_packet-0.26.0/Cargo.toml,,,,,,,,,,,,,,,,,,,,,  thread caused non-unwinding panic. aborting.,extract
