source_group,crate_dir,is_workspace_root,note
ERASAN,algorithmica-0.1.8,false,
ERASAN,arc-swap-1.0.0,false,
ERASAN,bumpalo-3.11.0,false,
ERASAN,cbox-0.3.0,false,
ERASAN,endian_trait-0.6.0,false,
ERASAN,futures-0.3.3,false,
ERASAN,futures-0.3.5,false,
ERASAN,http-0.1.19,false,
ERASAN,insert_many-0.1.1,false,
ERASAN,lru-0.6.6,false,
ERASAN,nano_arena-0.5.2,false,
ERASAN,ordnung-0.0.1,false,
ERASAN,pnet_packet-0.26.0,false,
ERASAN,qwutils-0.3.0,false,
ERASAN,rdiff-0.1.2,false,
ERASAN,rusqlite-0.26.1,false,
ERASAN,secp256k1-0.22.0,false,
ERASAN,simple-slab-0.3.2,false,
ERASAN,slice-deque-0.3.0,false,
ERASAN,smallvec-0.6.6,false,
ERASAN,smallvec-1.6.0,false,
ERASAN,stack_dst-0.6.0,false,
ERASAN,stackvector-1.0.8,false,
ERASAN,string-interner-0.7.0,false,
ERASAN,through-0.1.0,false,
ERASAN,tokio-1.24.1,false,
ERASAN,toodee-0.2.4,false,
RUSTSAN,arenavec-0.1.1,false,
RUSTSAN,array-queue-0.3.3,false,
RUSTSAN,base64-0.5.1,false,
RUSTSAN,bumpalo-3.2.0,false,
RUSTSAN,chttp-0.1.2,false,
RUSTSAN,flatbuffers-0.8.0,false,
RUSTSAN,generic-array-0.13.2,false,
RUSTSAN,id-map-0.2.1,false,
RUSTSAN,safe-transmute-0.10.0,false,
RUSTSAN,scratchpad-1.3.0,false,
RUSTSAN,sized-chunks-0.6.2,false,
RUSTSAN,slice-deque-0.1.15,false,
RUSTSAN,smallvec-0.6.1,false,
RUSTSAN,smallvec-0.6.3,false,
RUSTSAN,stack-0.3.0,false,
RUSTSAN,sys-info-0.7.0,false,
CRABTREE,fixedbitset-0.4.1,false,
CRABTREE,integer-encoding-3.0.4,false,
CRABTREE,leapfrog-0.2.1,false,
CRABTREE,oxidebpf-0.2.3,false,
CRABTREE,roaring-0.10.1,false,
CRABTREE,sharded-slab-0.1.4,false,
CRABTREE,sparsey-0.7.0,false,
CRABTREE,triomphe-0.1.6,false,
RUG,bincode-2.0.0-rc.3,false,
RUG,chrono-0.5.0-alpha.1,false,
RUG,crc32fast-1.3.2,false,
RUG,hashes,true,workspace root in upstream dataset
RUG,itoa-1.0.6,false,
RUG,nom-7.1.2,false,
RUG,num-traits-0.2.15,false,
RUG,ryu-1.0.13,false,
RUG,semver-1.0.17,false,
RUG,serde_json-1.0.96,false,
RUG,time,true,workspace root in upstream dataset
RUG,uuid-1.4.0,false,
