source_group,dataset_entry,unit_name,manifest_rel_path,expanded_from
ERASAN,algorithmica-0.1.8,algorithmica-0.1.8,erasan_crates/algorithmica-0.1.8/Cargo.toml,
ERASAN,toodee-0.2.4,toodee-0.2.4,erasan_crates/toodee-0.2.4/Cargo.toml,
ERASAN,http-0.1.19,http-0.1.19,erasan_crates/http-0.1.19/Cargo.toml,
ERASAN,through-0.1.0,through-0.1.0,erasan_crates/through-0.1.0/Cargo.toml,
ERASAN,string-interner-0.7.0,string-interner-0.7.0,erasan_crates/string-interner-0.7.0/Cargo.toml,
ERASAN,slice-deque-0.3.0,slice-deque-0.3.0,erasan_crates/slice-deque-0.3.0/Cargo.toml,
ERASAN,simple-slab-0.3.2,simple-slab-0.3.2,erasan_crates/simple-slab-0.3.2/Cargo.toml,
ERASAN,rdiff-0.1.2,rdiff-0.1.2,erasan_crates/rdiff-0.1.2/Cargo.toml,
ERASAN,qwutils-0.3.0,qwutils-0.3.0,erasan_crates/qwutils-0.3.0/Cargo.toml,
ERASAN,ordnung-0.0.1,ordnung-0.0.1,erasan_crates/ordnung-0.0.1/Cargo.toml,
ERASAN,insert_many-0.1.1,insert_many-0.1.1,erasan_crates/insert_many-0.1.1/Cargo.toml,
ERASAN,futures-0.3.5,futures-0.3.5-futures-task,erasan_crates/futures-0.3.5/futures-task/Cargo.toml,futures-task workspace member
ERASAN,futures-0.3.3,futures-0.3.3-futures-task,erasan_crates/futures-0.3.3/futures-task/Cargo.toml,futures-task workspace member
ERASAN,endian_trait-0.6.0,endian_trait-0.6.0,erasan_crates/endian_trait-0.6.0/Cargo.toml,
ERASAN,cbox-0.3.0,cbox-0.3.0,erasan_crates/cbox-0.3.0/Cargo.toml,
ERASAN,bumpalo-3.11.0,bumpalo-3.11.0,erasan_crates/bumpalo-3.11.0/Cargo.toml,
ERASAN,secp256k1-0.22.0,secp256k1-0.22.0,erasan_crates/secp256k1-0.22.0/Cargo.toml,
ERASAN,pnet_packet-0.26.0,pnet_packet-0.26.0,erasan_crates/pnet_packet-0.26.0/Cargo.toml,
ERASAN,rusqlite-0.26.1,rusqlite-0.26.1,erasan_crates/rusqlite-0.26.1/Cargo.toml,
ERASAN,tokio-1.24.1,tokio-1.24.1,erasan_crates/tokio-1.24.1/Cargo.toml,
ERASAN,arc-swap-1.0.0,arc-swap-1.0.0,erasan_crates/arc-swap-1.0.0/Cargo.toml,
ERASAN,lru-0.6.6,lru-0.6.6,erasan_crates/lru-0.6.6/Cargo.toml,
ERASAN,nano_arena-0.5.2,nano_arena-0.5.2,erasan_crates/nano_arena-0.5.2/Cargo.toml,
ERASAN,smallvec-0.6.6,smallvec-0.6.6,erasan_crates/smallvec-0.6.6/Cargo.toml,
ERASAN,smallvec-1.6.0,smallvec-1.6.0,erasan_crates/smallvec-1.6.0/Cargo.toml,
ERASAN,stack_dst-0.6.0,stack_dst-0.6.0,erasan_crates/stack_dst-0.6.0/Cargo.toml,
ERASAN,stackvector-1.0.8,stackvector-1.0.8,erasan_crates/stackvector-1.0.8/Cargo.toml,
RUSTSAN,arenavec-0.1.1,arenavec-0.1.1,rustsan_crates/arenavec-0.1.1/Cargo.toml,
RUSTSAN,array-queue-0.3.3,array-queue-0.3.3,rustsan_crates/array-queue-0.3.3/Cargo.toml,
RUSTSAN,base64-0.5.1,base64-0.5.1,rustsan_crates/base64-0.5.1/Cargo.toml,
RUSTSAN,bumpalo-3.2.0,bumpalo-3.2.0,rustsan_crates/bumpalo-3.2.0/Cargo.toml,
RUSTSAN,chttp-0.1.2,chttp-0.1.2,rustsan_crates/chttp-0.1.2/Cargo.toml,
RUSTSAN,flatbuffers-0.8.0,flatbuffers-0.8.0,rustsan_crates/flatbuffers-0.8.0/Cargo.toml,
RUSTSAN,generic-array-0.13.2,generic-array-0.13.2,rustsan_crates/generic-array-0.13.2/Cargo.toml,
RUSTSAN,id-map-0.2.1,id-map-0.2.1,rustsan_crates/id-map-0.2.1/Cargo.toml,
RUSTSAN,safe-transmute-0.10.0,safe-transmute-0.10.0,rustsan_crates/safe-transmute-0.10.0/Cargo.toml,
RUSTSAN,scratchpad-1.3.0,scratchpad-1.3.0,rustsan_crates/scratchpad-1.3.0/Cargo.toml,
RUSTSAN,sized-chunks-0.6.2,sized-chunks-0.6.2,rustsan_crates/sized-chunks-0.6.2/Cargo.toml,
RUSTSAN,slice-deque-0.1.15,slice-deque-0.1.15,rustsan_crates/slice-deque-0.1.15/Cargo.toml,
RUSTSAN,smallvec-0.6.1,smallvec-0.6.1,rustsan_crates/smallvec-0.6.1/Cargo.toml,
RUSTSAN,smallvec-0.6.3,smallvec-0.6.3,rustsan_crates/smallvec-0.6.3/Cargo.toml,
RUSTSAN,stack-0.3.0,stack-0.3.0,rustsan_crates/stack-0.3.0/Cargo.toml,
